Name,Nord-Süd,Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,spez. Standort,Unerklärte Ziffer
50H Berlin Lichterfelde,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Berlin,"52° 25′ 32″ N, 13° 18′ 36″ O",
50H Berlin Marzahn,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Berlin,"52° 31′ 26″ N, 13° 31′ 19″ O",
50H Berlin Mitte,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Berlin,"52° 30′ 41″ N, 13° 25′ 16″ O",
50H Berlin Reuter West,Nord,81,Heizkraftwerk,Steinkohle,nicht EE,Berlin,"52° 32′ 7″ N, 13° 14′ 34″ O",13599
50H Dresden-Nossen,Nord,84,,,Nicht EE,,,
50H EnviaTherm Bitterfeld-Wolfen GuD,Nord,83/84,,,Nicht EE,,,
50H Erfurt-Ost HKW GuD,Nord,83,Heizkraftwerk (GuD),Erdgas,nicht EE,Thüringen,"51° 1′ 7″ N, 11° 2′ 22″ O",
50H Halle-Dieselstr HKW-BlockA,Nord,83,Heizkraftwerk,Erdgas,nicht EE,Sachsen-Anhalt,,6130
50H Halle-Dieselstr HKW-BlockB,Nord,83,,,Nicht EE,,,
50H Halle-Dieselstr HKW-BlockC,Nord,83,,,Nicht EE,,,
50H Halle-Trotha HKW,Nord,83,Heizkraftwerk,Erdgas,nicht EE,Sachsen-Anhalt,,6188
50H Hamburg MMB BHKW P2H,Nord,82,,,Nicht EE,,,
50H Hamburg MMB BHKW PtH,Nord,82,,,Nicht EE,,,
50H Hamburg Tiefstack 2 HKW SK,Nord,82,Heizkraftwerk,Kohle,nicht EE,Hamburg,"53° 31′ 37″ N, 10° 3′ 49″ O",22113
50H Hamburg Tiefstack GuD,Nord,82,Heizkraftwerk (GuD),Erdgas,nicht EE,Hamburg,"53° 31′ 37″ N, 10° 3′ 49″ O",22113
50H Hamburg Wedel1,Nord,82,Heizkraftwerk,Steinkohle,nicht EE,Schleswig-Holstein,,22880
50H Hamburg Wedel1 Block1,Nord,82,,,Nicht EE,,,
50H InfraLeuna IKW,Nord,83,,,Nicht EE,,,
50H Leipzig Nord GuD,Nord,83/84,,,Nicht EE,,,
50H Leipzig Süd GuD,Nord,83/84,,,Nicht EE,,,
50H Neubrandenburg GuD,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,,,
50H OWP Arcadis Ost 1,Nord,80,Offshore Windpark,Wind,EE,Mecklenburg-Vorpommern,"54° 48′ 0″ N, 13° 41′ 0″ O",
50H OWP Arkona,Nord,80,Offshore Windpark,Wind,EE,Ostsee,"54° 46′ 55″ N, 14° 7′ 16″ O",
50H OWP Baltic 1+2 Süd MIO,Nord,80,Offshore Windpark,Wind,EE,Mecklenburg-Vorpommern,"54° 36′ 50″ N, 12° 40′ 0″ O (1) 54° 58′ 24″ N, 13° 10′ 40″ O (2)",
50H OWP MIO Baltic 1+2,Nord,80,,Wind,EE,,,
50H OWP Wikinger,Nord,80,Offshore Windpark,Wind,EE,Ostsee,"54° 50′ 2″ N, 14° 4′ 5″ O",
50H PV Witznitz,Nord,83,Freiflächen PV,Sonne,EE,Sachsen,"51° 10′ 1,9″ N, 12° 28′ 44,8″ O",
50H Rostock Marienehe,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Mecklenburg-Vorpommern,"54,088451,  12,129207",18055
