Name,Nord-Süd,DE2 (BZR ID2),Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,,Unerklärte Ziffer,DEHST-ID,DEHST-Nummer,VET 2022 (Block),VET 2022 (Plant)
EGM_DTS,,,,Mühlheizkraftwerk,Abfall,Nicht EE,Rheinland-Pfalz,Mainz,,209842,14310-1926,514.106,
Börse,Börse,,Börse,Börse,Börse,Börse,,,,1176,14310-0619,667.865,
Boxberg (Standort),Süd,Süd,84,Wärmekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 25′ 7″ N, 14° 34′ 6″ O",,1194,14310-0638,627.240,
Braunschweig GT,Nord,Nord,23,Wärmekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 25′ 7″ N, 14° 34′ 6″ O",,1179,14310-0622,1.637.895,
Lippendorf EnBW,Nord,Nord,,Braunkohlekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 10′ 59″ N, 12° 22′ 22″ O",,739,14310-0129,616.282,
Lippendorf VE,Nord,Nord,,Braunkohlekraftwerk,Braunkohle,nicht EE,Sachsen,"51°11'03.2""N 12°22'22.3""E",,1403,14310-0860,93.704,
NEURATH_F,Süd,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",,1777,14310-1335,292.955,
NEURATH_G,Süd,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",,1886,14310-1406,,197.038
NIEDERAUSSEM_K,Süd,Süd,74,,Braunkohle,Nicht EE,,,,1886,14310-1406,,197.038
Schkopau,Nord,Nord,,Dampfkraftwerk,Braunkohle,nicht EE,Sachsen-Anhalt,"51° 24′ 4″ N, 11° 57′ 3″ O",,1886,14310-1406,,197.038
Schwarze Pumpe (Standort),Nord,Nord,,Kohlekraftwerk,Braunkohle,nicht EE,Brandenburg,"51°32'03.0""N 14°21'01.7""E",,1157,14310-0599,,73.304
WEISWEILER_F,Süd,Süd,74,,Braunkohle,Nicht EE,,,,206180,14310-1863,,7.065
WEISWEILER_F_110,Süd,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",,206180,14310-1864,,7.065
WEISWEILER_G,Süd,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",,951,14310-0369,,1.213.015
WEISWEILER_H,Süd,Süd,74,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",,951,14310-0370,,1.213.015
Jänschwalde (Standort),Nord,Nord,81,Kohlekraftwerk,Braunkohle ,nicht EE,Brandenburg,"51°50'16.2""N 14°27'23.9""E",,952,14310-0370,,1.269.477
NEURATH_C,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",,952,14310-0371,,1.269.477
NEURATH_D,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",,,,,
NEURATH_E,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",,1444,14310-0904,,189.968
NIEDERAUSSEM_E,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,,14310-1965,,22.568
NIEDERAUSSEM_F,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,1235,14310-0679,,119.389
NIEDERAUSSEM_G,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,,,,
NIEDERAUSSEM_H,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,,,,
50H Berlin Lichterfelde,Nord,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Berlin,"52° 25′ 32″ N, 13° 18′ 36″ O",,,,,
50H Berlin Marzahn,Nord,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Berlin,"52° 31′ 26″ N, 13° 31′ 19″ O",,,,,
50H Berlin Mitte,Nord,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Berlin,"52° 30′ 41″ N, 13° 25′ 16″ O",,,,,
50H Dresden-Nossen,Nord,Nord,84,,Erdgas,Nicht EE,,,,,,,
50H EnviaTherm Bitterfeld-Wolfen GuD,Nord,Nord,83/84,,Erdgas,Nicht EE,,,,825,14310-0226,,236.350
50H Erfurt-Ost HKW GuD,Nord,Nord,83,Heizkraftwerk (GuD),Erdgas,nicht EE,Thüringen,"51° 1′ 7″ N, 11° 2′ 22″ O",,,,,
50H Halle-Dieselstr HKW-BlockA,Nord,Nord,83,Heizkraftwerk,Erdgas,nicht EE,Sachsen-Anhalt,,6130,,,,
50H Halle-Dieselstr HKW-BlockB,Nord,Nord,83,Heizkraftwerk,Erdgas,Nicht EE,Sachsen-Anhalt,,,,,,
50H Halle-Dieselstr HKW-BlockC,Nord,Nord,83,Heizkraftwerk,Erdgas,Nicht EE,Sachsen-Anhalt,,,,,,
50H Halle-Trotha HKW,Nord,Nord,83,Heizkraftwerk,Erdgas,nicht EE,Sachsen-Anhalt,,6188,,,,
50H Hamburg MMB BHKW P2H,Nord,Nord,82,Heizrkraftwerk,Erdgas,Nicht EE,Hamburg,,,,,,
50H Hamburg MMB BHKW PtH,Nord,Nord,82,Heizkraftwerk,Erdgas,Nicht EE,Hamburg,,,,,,
50H Hamburg Tiefstack GuD,Nord,Nord,82,Heizkraftwerk (GuD),Erdgas,nicht EE,Hamburg,"53° 31′ 37″ N, 10° 3′ 49″ O",22113,,,,
50H InfraLeuna IKW,Nord,Nord,83,,Erdgas,Nicht EE,,,,,,,
50H Leipzig Nord GuD,Nord,Nord,83/84,,Erdgas,Nicht EE,,,,,,,
50H Leipzig Süd GuD,Nord,Nord,83/84,,Erdgas,Nicht EE,,,,,,,
50H Neubrandenburg GuD,Nord,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,,,,,,,
50H Rostock Marienehe,Nord,Nord,81,Heizkraftwerk (GuD),Erdgas,nicht EE,Mecklenburg-Vorpommern,"54,088451,  12,129207",18055,,,,
50H Stralsund BHKW+P2H,Nord,Nord,81,Blockheizkraftwerk,Erdgas,Nicht EE,Mecklenburg-Vorpommern,"ca. 54,337817,  13,057407",18435,,,,
50H Stralsund BHKW+PtH,Nord,Nord,81,,Erdgas,Nicht EE,,,,,,,
Ahrensfelde A (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Ahrensfelde B (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Ahrensfelde C (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Ahrensfelde D (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Audorf,Nord,Nord,21,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Schleswig-Holstein,"54°17'25.6""N 9°43'23.1""E",,,,,
BASF-GESAMTEINSPEISG,Nord,,23/81,,Erdgas,Nicht EE,,,,,,,
BIBLIS_GT (bnBm),Süd,Süd,75,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Hessen,"49°42'19.4""N 8°24'57.6""E",,,,,
Braunschweig HKWM GT31,Nord,Nord,23,,Erdgas,Nicht EE,,,,,,,
Bremen BHKW,Nord,Nord,22,Blockheizkraftwerk,Erdgas,nicht EE,Bremen,"53° 3′ 35″ N, 8° 52′ 23″ O",,,,,
Emden 4 GT (KapRes),Nord,Nord,22,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Niedersachsen,"53°21'29.0""N 7°12'55.0""E",,,,,
Emsland Block B,Nord,Nord,22,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Niedersachsen,"52°28'51.9""N 7°18'06.5""E",,,,,
Emsland Block C,Nord,Nord,22,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Niedersachsen,"52°28'51.9""N 7°18'06.5""E",,,,,
Emsland Block C pool,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
Emsland Block D,Nord,Nord,22,GuD-Kraftwerk,Erdgas,nicht EE,Niedersachsen,"52° 28′ 51″ N, 7° 18′ 21″ O",,,,,
Emsland Block D pool,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
EMSLAND_DTB0,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
EMSLAND_DTC0,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
EMSLAND_DTD0,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
Frankfurt West 4,Süd,Süd,24,Heizkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 54″ N, 8° 39′ 12″ O",,,,,
Gebersdorf 1,Süd,Süd,24,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"49°25'17.8""N 11°00'34.5""E",,,,,
Gebersdorf 2,Süd,Süd,24,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"49°25'17.8""N 11°00'34.5""E",,,,,
Gebersdorf GT,Süd,Süd,24,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"49°25'17.8""N 11°00'34.5""E",,,,,
GERSTEINW_DTF2 (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,,,,
